"mean" "sd" "t"
0.127450980392157 0.261593907706238 0
0.0686274509803922 0.173770188557683 0.5
0.0294117647058824 0.118817705157201 1
0.0686274509803922 0.173770188557683 1.5
0.0882352941176471 0.192506684375924 2
0.0980392156862745 0.224044813444482 2.5
0.0294117647058824 0.118817705157201 3
0.617647058823529 0.325395686727984 3.5
25.0823529411765 0.262073182415096 4
25.1313725490196 0.252578855867573 4.5
25.0980392156863 0.286000137117751 5
25.0764705882353 0.262745683347314 5.5
25.1372549019608 0.252159302278322 6
25.1294117647059 0.212879419058826 6.5
25.0607843137255 0.24337496286393 7
25.0980392156863 0.264189474490132 7.5
25.1686274509804 0.237057120608878 8
25.0823529411765 0.274011592713112 8.5
25.1725490196078 0.26235733751702 9
25.121568627451 0.244387991104469 9.5
25.1019607843137 0.219536052691516 10
25.0843137254902 0.216677224478816 10.5
25.1019607843137 0.21306355491114 11
25.1235294117647 0.233741939150095 11.5
25.0901960784314 0.245157012513029 12
25.143137254902 0.218407785539604 12.5
25.0392156862745 0.228978978399807 13
22.7137254901961 3.89820572098719 13.5
6.70980392156863 7.19850692579957 14
0.549019607843137 3.49607623195031 14.5
0.53921568627451 3.56769272395326 15
0.352941176470588 1.82014866878247 15.5
0.0980392156862745 0.316537641413107 16
0.117647058823529 0.340414971676007 16.5
0.0392156862745098 0.135762191161677 17
0.117647058823529 0.40728657348503 17.5
0.25 0.457905469889625 18
