"ram" "ramsd" "time"
47.6555555555556 0.304243492229665 0
47.662962962963 0.306529140474626 0.5
47.6666666666667 0.307596138817417 1
47.6666666666667 0.307596138817417 1.5
47.6703703703704 0.299762489076851 2
47.6703703703704 0.299762489076851 2.5
47.6703703703704 0.299762489076851 3
47.6703703703704 0.299762489076851 3.5
47.8333333333333 0.292206460203425 4
50.9148148148148 0.364484571482803 4.5
54.9333333333333 0.636698213743855 5
58.3185185185185 0.805766255969595 5.5
62.0481481481482 0.859055998161474 6
66.2148148148148 0.817925943470955 6.5
62.4481481481481 7.9719397490086 7
47.6888888888889 0.281934707844172 7.5
47.6888888888889 0.281934707844172 8
47.6888888888889 0.281934707844172 8.5
47.6888888888889 0.281934707844172 9
47.6888888888889 0.281934707844172 9.5
47.6888888888889 0.281934707844172 10
47.6851851851852 0.289168175320579 10.5
47.6708333333333 0.304287002203749 11
