"cpu1" "cpu1sd" "time"
11.05 4.22676908797688 0
11.262962962963 4.73894650319182 0.5
11.862962962963 5.90046596257436 1
11.7518518518519 5.6978990980057 1.5
10.8685185185185 4.61694513029799 2
11.4314814814815 5.16906754253214 2.5
11.8796296296296 5.67506793011291 3
11.9666666666667 4.21688455908096 3.5
57.1037037037037 4.56914665332611 4
55.9351851851852 2.48308953085337 4.5
56.6444444444444 3.70224290992671 5
57.9685185185185 3.11957677566353 5.5
58.4222222222222 4.44806209604322 6
56.9166666666667 3.75107676848621 6.5
26 15.0015255634475 7
9.73333333333333 4.44976230998742 7.5
10.437037037037 7.07643152944217 8
11.9518518518519 4.81924191056981 8.5
15.9648148148148 5.61731209358134 9
14.5722222222222 5.17254834779303 9.5
11.3037037037037 4.9672180328384 10
11.2574074074074 5.17948437632149 10.5
11.7395833333333 7.20466303056971 11
